mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	5/16	5/16	4/4	1	1	.Bb.I	Bb	I		I	I						M	0	0	0, 4, 1		0	0
1	1	3/4	3/4	4/4	1	1	I(4)	Bb	I		I(4)	I			4			M	0	0	0, -1, 1		0	0
1	1	15/16	15/16	4/4	1	1	I	Bb	I		I	I						M	0	0	0, 4, 1		0	0
2	2	0	0	4/4	1	1	V6	Bb	I		V6	V		6				M	0	0	5, 2, 1		1	5
2	2	1/2	1/2	4/4	1	1	vi	Bb	I		vi	vi						m	0	0	3, 0, 4		3	3
2	2	3/4	3/4	4/4	1	1	V	Bb	I		V	V						M	0	0	1, 5, 2		1	1
2	2	7/8	7/8	4/4	1	1	V6/V	Bb	I		V6/V	V		6		V		M	0	0	6, 3, 2		2	6
3	3	0	0	4/4	1	1	V\\	Bb	I		V	V					\\	M	0	0	1, 5, 2		1	1
3	3	1/2	1/2	4/4	1	1	IV6	Bb	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
3	3	3/4	3/4	4/4	1	1	V6	Bb	I		V6	V		6				M	0	0	5, 2, 1		1	5
4	4	0	0	4/4	1	1	I\\	Bb	I		I	I					\\	M	0	0	0, 4, 1		0	0
4	4	1/4	1/4	4/4	1	1	V.ii	Bb	V		ii	ii						m	0	0	2, -1, 3		2	2
4	4	1/2	1/2	4/4	1	1	V	Bb	V		V	V						M	0	0	1, 5, 2		1	1
4	4	3/4	3/4	4/4	1	1	I6	Bb	V		I6	I		6				M	0	0	4, 1, 0		0	4
5	5	0	0	4/4	1	1	vi	Bb	V		vi	vi						m	0	0	3, 0, 4		3	3
5	5	1/4	1/4	4/4	1	1	IV	Bb	V		IV	IV						M	0	0	-1, 3, 0		-1	-1
5	5	1/2	1/2	4/4	1	1	V2	Bb	V		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
5	5	5/8	5/8	4/4	1	1	I6	Bb	V		I6	I		6				M	0	0	4, 1, 0		0	4
5	5	11/16	11/16	4/4	1	1	IV	Bb	V		IV	IV						M	0	0	-1, 3, 0		-1	-1
5	5	3/4	3/4	4/4	1	1	V(4)	Bb	V		V(4)	V			4			M	0	0	1, 0, 2		1	1
5	5	7/8	7/8	4/4	1	1	V(64)	Bb	V		V(64)	V			64			M	0	0	1, 0, 4		1	1
5	5	31/32	31/32	4/4	1	1	V7	Bb	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
6	6	0	0	4/4	1	1	I(4)	Bb	V		I(4)	I			4			M	0	0	0, -1, 1		0	0
6	6	1/8	1/8	4/4	1	1	I\\	Bb	V		I	I					\\	M	0	0	0, 4, 1		0	0
6	6	1/2	1/2	4/4	1	1	I.V7	Bb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
7	7	0	0	4/4	1	1	I64(2)	Bb	I		I64(2)	I		64	2			M	0	0	1, 2, 4		0	1
7	7	3/8	3/8	4/4	1	1	I6	Bb	I		I6	I		6				M	0	0	4, 1, 0		0	4
7	7	1/2	1/2	4/4	1	1	IV	Bb	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
7	7	5/8	5/8	4/4	1	1	I	Bb	I		I	I						M	0	0	0, 4, 1		0	0
7	7	3/4	3/4	4/4	1	1	V	Bb	I		V	V						M	0	0	1, 5, 2		1	1
8	8	0	0	4/4	1	1	I\\	Bb	I		I	I					\\	M	0	0	0, 4, 1		0	0
8	8	1/2	1/2	4/4	1	1	IV.V7	Bb	IV		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
9	9	0	0	4/4	1	1	I64(2)	Bb	IV		I64(2)	I		64	2			M	0	0	1, 2, 4		0	1
9	9	3/8	3/8	4/4	1	1	I6	Bb	IV		I6	I		6				M	0	0	4, 1, 0		0	4
9	9	1/2	1/2	4/4	1	1	IV	Bb	IV		IV	IV						M	0	0	-1, 3, 0		-1	-1
9	9	5/8	5/8	4/4	1	1	I	Bb	IV		I	I						M	0	0	0, 4, 1		0	0
9	9	3/4	3/4	4/4	1	1	V	Bb	IV		V	V						M	0	0	1, 5, 2		1	1
10	10	0	0	4/4	1	1	I\\	Bb	IV		I	I					\\	M	0	0	0, 4, 1		0	0
10	10	1/2	1/2	4/4	1	1	ii.#viio6	Bb	ii		#viio6	#vii	o	6				o	0	1	2, -1, 5		5	2
10	10	3/4	3/4	4/4	1	1	#viio43	Bb	ii		#viio43	#vii	o	43				o7	0	1	-1, -4, 5, 2		5	-1
11	11	0	0	4/4	1	1	#viio	Bb	ii		#viio	#vii	o					o	0	1	5, 2, -1		5	5
11	11	1/4	1/4	4/4	1	1	V7	Bb	ii		V7	V		7				Mm7	0	1	1, 5, 2, -1		1	1
11	11	1/2	1/2	4/4	1	1	#viio	Bb	ii		#viio	#vii	o					o	0	1	5, 2, -1		5	5
11	11	3/4	3/4	4/4	1	1	V7	Bb	ii		V7	V		7				Mm7	0	1	1, 5, 2, -1		1	1
12	12	0	0	4/4	1	1	i(9)	Bb	ii		i(9)	i			9			m	0	1	0, -3, 1	2	0	0
12	12	1/8	1/8	4/4	1	1	i\\	Bb	ii		i	i					\\	m	0	1	0, -3, 1		0	0
12	12	1/2	1/2	4/4	1	1	vi.iv(9)	Bb	vi		iv(9)	iv			9			m	0	1	-1, -4, 0	1	-1	-1
12	12	5/8	5/8	4/4	1	1	iv	Bb	vi		iv	iv						m	0	1	-1, -4, 0		-1	-1
13	13	1/8	1/8	4/4	1	1	#viio64	Bb	vi		#viio64	#vii	o	64				o	0	1	-1, 5, 2		5	-1
13	13	1/2	1/2	4/4	1	1	#viio(9)/iv	Bb	vi		#viio(9)/iv	#vii	o		9	iv		o	0	1	4, 1, -2	-1	4	4
13	13	5/8	5/8	4/4	1	1	#viio/iv	Bb	vi		#viio/iv	#vii	o			iv		o	0	1	4, 1, -2		4	4
14	14	0	0	4/4	1	1	IV/VII	Bb	vi		IV/VII	IV				VII		M	0	1	-3, 1, -2		-3	-3
14	14	1/8	1/8	4/4	1	1	viio64/VII	Bb	vi		viio64/VII	vii	o	64		VII		o	0	1	-3, 3, 0		3	-3
14	14	1/2	1/2	4/4	1	1	#viio65	Bb	vi		#viio65	#vii	o	65				o7	0	1	2, -1, -4, 5		5	2
14	14	3/4	3/4	4/4	1	1	iv64	Bb	vi		iv64	iv		64				m	0	1	0, -1, -4		-1	0
15	15	0	0	4/4	1	1	V65	Bb	vi		V65	V		65				Mm7	0	1	5, 2, -1, 1		1	5
15	15	1/4	1/4	4/4	1	1	V7	Bb	vi		V7	V		7				Mm7	0	1	1, 5, 2, -1		1	1
15	15	1/2	1/2	4/4	1	1	i	Bb	vi		i	i						m	0	1	0, -3, 1		0	0
15	15	5/8	5/8	4/4	1	1	iv7	Bb	vi		iv7	iv		7				mm7	0	1	-1, -4, 0, -3		-1	-1
15	15	3/4	3/4	4/4	1	1	V(64)	Bb	vi		V(64)	V			64			M	0	1	1, 0, -3		1	1
15	15	13/16	13/16	4/4	1	1	V(4)	Bb	vi		V(4)	V			4			M	0	1	1, 0, 2		1	1
15	15	15/16	15/16	4/4	1	1	V	Bb	vi		V	V						M	0	1	1, 5, 2		1	1
16	16	0	0	4/4	1	1	i	Bb	vi		i	i						m	0	1	0, -3, 1		0	0
16	16	1/16	1/16	4/4	1	1	i(4)	Bb	vi		i(4)	i			4			m	0	1	0, -1, 1		0	0
16	16	1/8	1/8	4/4	1	1	i\\	Bb	vi		i	i					\\	m	0	1	0, -3, 1		0	0
16	16	1/4	1/4	4/4	1	1	I.I	Bb	I		I	I						M	0	0	0, 4, 1		0	0
16	16	5/8	5/8	4/4	1	1	viio(2)	Bb	I		viio(2)	vii	o		2			o	0	0	0, 2, -1		5	0
16	16	3/4	3/4	4/4	1	1	viio	Bb	I		viio	vii	o					o	0	0	5, 2, -1		5	5
17	17	0	0	4/4	1	1	I(94)	Bb	I		I(94)	I			94			M	0	0	0, -1, 1	2	0	0
17	17	1/8	1/8	4/4	1	1	I	Bb	I		I	I						M	0	0	0, 4, 1		0	0
17	17	1/4	1/4	4/4	1	1	I6	Bb	I		I6	I		6				M	0	0	4, 1, 0		0	4
17	17	1/2	1/2	4/4	1	1	IVM7	Bb	I		IVM7	IV	M	7				MM7	0	0	-1, 3, 0, 4		-1	-1
17	17	5/8	5/8	4/4	1	1	ii65	Bb	I		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2	-1
17	17	3/4	3/4	4/4	1	1	V65/V	Bb	I		V65/V	V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
18	18	0	0	4/4	1	1	V(4)	Bb	I		V(4)	V			4			M	0	0	1, 0, 2		1	1
18	18	1/8	1/8	4/4	1	1	V\\	Bb	I		V	V					\\	M	0	0	1, 5, 2		1	1
18	18	5/16	5/16	4/4	1	1	IV.ii	Bb	IV		ii	ii						m	0	0	2, -1, 3		2	2
18	18	1/2	1/2	4/4	1	1	V65	Bb	IV		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
20	20	0	0	4/4	1	1	I(9)	Bb	IV		I(9)	I			9			M	0	0	0, 4, 1	2	0	0
20	20	1/8	1/8	4/4	1	1	I\\	Bb	IV		I	I					\\	M	0	0	0, 4, 1		0	0
20	20	1/2	1/2	4/4	1	1	V.V65	Bb	V		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
22	22	0	0	4/4	1	1	I(9)	Bb	V		I(9)	I			9			M	0	0	0, 4, 1	2	0	0
22	22	1/8	1/8	4/4	1	1	I\\	Bb	V		I	I					\\	M	0	0	0, 4, 1		0	0
22	22	1/4	1/4	4/4	1	1	I.I6	Bb	I		I6	I		6				M	0	0	4, 1, 0		0	4
22	22	1/2	1/2	4/4	1	1	vi	Bb	I		vi	vi						m	0	0	3, 0, 4		3	3
22	22	3/4	3/4	4/4	1	1	ii	Bb	I		ii	ii						m	0	0	2, -1, 3		2	2
23	23	0	0	4/4	1	1	V	Bb	I		V	V						M	0	0	1, 5, 2		1	1
23	23	1/4	1/4	4/4	1	1	I6	Bb	I		I6	I		6				M	0	0	4, 1, 0		0	4
23	23	1/2	1/2	4/4	1	1	viio6	Bb	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
23	23	5/8	5/8	4/4	1	1	I	Bb	I		I	I						M	0	0	0, 4, 1		0	0
23	23	3/4	3/4	4/4	1	1	V(64)	Bb	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
23	23	13/16	13/16	4/4	1	1	V(4)	Bb	I		V(4)	V			4			M	0	0	1, 0, 2		1	1
23	23	7/8	7/8	4/4	1	1	V7(4)	Bb	I		V7(4)	V		7	4			Mm7	0	0	1, 0, 2, -1		1	1
23	23	15/16	15/16	4/4	1	1	V7	Bb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
24	24	0	0	4/4	1	1	I	Bb	I		I	I						M	0	0	0, 4, 1		0	0
24	24	1/16	1/16	4/4	1	1	I(4)	Bb	I		I(4)	I			4			M	0	0	0, -1, 1		0	0
24	24	1/8	1/8	4/4	1	1	I\\	Bb	I		I	I					\\	M	0	0	0, 4, 1		0	0
